phylum,class,order,family,genus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Ahrensiaceae,Oceaniradius
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptuniibacter
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Telmatobacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Kerstersia
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Bacillota,Bacilli,Bacillales,Bacillaceae,Neobacillus
Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Paraclostridium
Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfosarcina
Bacteroidota,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus Cardinium
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Glutamicibacter
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Piscinibacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax
Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Thermithiobacillaceae,Thermithiobacillus
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Tisiphia
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Niveibacterium
Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Rubrivivax
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Agrilactobacillus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Aureimonas
Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bergeriella
Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium
Pseudomonadota,Betaproteobacteria,Burkholderiales,NA,Piscinibacterium
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alloalcanivorax
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Labrys
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Citricoccus
Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Crateriforma
Cyanobacteriota,Cyanophyceae,Oscillatoriales,Sirenicapillariaceae,Capilliphycus
Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus
Candidatus Paceibacterota,Minisyncoccia,Minisyncoccales,Minisyncoccaceae,Minisyncoccus
Pseudomonadota,NA,Enterobacterales,NA,NA
Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Nereida
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Balneatrichaceae,Pokkaliibacter
Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus
Mycoplasmatota,NA,Mycoplasmoidales,Metamycoplasmataceae,Metamycoplasma
Mycoplasmatota,NA,Mycoplasmoidales,Mycoplasmoidaceae,Malacoplasma
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Nitratireductor
Pseudomonadota,Alphaproteobacteria,Parvularculales,Parvularculaceae,Hyphococcus
Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
Bacillota,Bacilli,Bacillales,Bacillaceae,Metabacillus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Faucicola
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella
Synergistota,Synergistia,Synergistales,Aminobacteriaceae,Fretibacterium
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Thermodesulfobacteriota,Syntrophia,Syntrophales,Syntrophaceae,Syntrophus
Bacillota,Bacilli,Bacillales,Listeriaceae,Brochothrix
Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Owariibacterium
Atribacterota,Atribacteria,Atribacterales,Atrimonadaceae,Atrimonas
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Allotamlana
Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Arsenicicoccus
Actinomycetota,Actinomycetes,Mycobacteriales,Dietziaceae,Dietzia
Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfosporosinus
Actinomycetota,Actinomycetes,Micrococcales,NA,Pengzhenrongella
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,Congregibacter
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylocapsa
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium
Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Arsenophonus
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Pseudarthrobacter
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Thioclava
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Aliisedimentitalea
Mycoplasmatota,NA,Mycoplasmoidales,Metamycoplasmataceae,Mesomycoplasma
Mycoplasmatota,Mollicutes,Mycoplasmoidales,Metamycoplasmataceae,Mycoplasmopsis
Bacillota,Bacilli,Bacillales,Bacillaceae,Peribacillus
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium
Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia
Chlamydiota,NA,Parachlamydiales,Candidatus Rhabdochlamydiaceae,NA
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus
Bacillota,Bacilli,Bacillales,Bacillaceae,Mesobacillus
Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Phycicoccus
Bacillota,Bacilli,Bacillales,Caryophanaceae,Ureibacillus
Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Bacillota,Bacilli,Bacillales,Bacillaceae,Oceanobacillus
Bacillota,Bacilli,Bacillales,Bacillaceae,Cytobacillus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Algirhabdus
Bacillota,Bacilli,Bacillales,Bacillaceae,Niallia
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zobellia
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Archangium
Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea
Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma
Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Rickettsiella
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Curculioniphilus
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Pseudoxanthomonas
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azorhizophilus
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Vreelandella
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Kutzneria
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Bacillota,Bacilli,Bacillales,Caryophanaceae,Chryseomicrobium
Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Oryzobacter
Mycoplasmatota,NA,Mycoplasmoidales,Mycoplasmoidaceae,Mycoplasmoides
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Lonepinella
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Maricurvus
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Simiduia
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Massilimicrobiota
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Halioxenophilus
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Gilvimarinus
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Faecalimonas
Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Nonomuraea
Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Microcoleus
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Metapseudomonas
Pseudomonadota,Betaproteobacteria,Neisseriales,Chitinibacteraceae,Chitiniphilus
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas
Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Limibacterium
Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora
Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Sporomusa
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Yoonia
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Paenarthrobacter
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas
Planctomycetota,Candidatus Uabimicrobiia,Candidatus Uabimicrobiales,Candidatus Uabimicrobiaceae,Candidatus Uabimicrobium
Pseudomonadota,Alphaproteobacteria,Geminicoccales,Geminicoccaceae,Tistrella
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Lelliottia
Pseudomonadota,Alphaproteobacteria,Maricaulales,Robiginitomaculaceae,Fretibacter
Pseudomonadota,Alphaproteobacteria,Maricaulales,Maricaulaceae,Glycocaulis
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Buchananella
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenibacter
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
Bacillota,Bacilli,Bacillales,Caryophanaceae,Sporosarcina
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Thalassolituus
Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia
Fidelibacterota,Fidelibacteria,Fidelibacterales,Fidelibacteraceae,Fidelibacter
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Pseudomonadota,Gammaproteobacteria,NA,Candidatus Pseudothioglobaceae,Candidatus Thiodubiliella
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya
Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Alkalibacterium
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Castellaniella
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter
Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Lysobacter
Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Planktothricoides
Bacillota,Clostridia,Eubacteriales,Proteinivoraceae,Proteinivorax
Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Hydrogenimonadaceae,Hydrogenimonas
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Mangrovibacter
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus
Bacillota,Clostridia,Christensenellales,Christensenellaceae,Christensenella
Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Tunturiibacter
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Ancalomicrobiaceae,Methyloraptor
Bacillota,Bacilli,Bacillales,Bacillaceae,Heyndrickxia
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Scrofimicrobium
Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomarinum
Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Bruguierivoracaceae,Sodalis
Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria
Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mariniflexile
Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Prescottella
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Edaphobacter
Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Budviciaceae,Leminorella
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sagittula
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Bengtsoniella
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,Blastococcus
Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus
Bacillota,Bacilli,Bacillales,Bacillaceae,Caldifermentibacillus
Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Janibacter
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
Verrucomicrobiota,Opitutia,Opitutales,Opitutaceae,Termitidicoccus
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Nguyenibacter
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propioniciclava
Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Ignatzschineriaceae,Ignatzschineria
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia
Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Stieleria
Bacteroidota,Flavobacteriia,Flavobacteriales,NA,Candidatus Walczuchella
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Candidatus Fukatsuia
Pseudomonadota,NA,NA,NA,NA
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga
Bacillota,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitalea
Atribacterota,Atribacteria,Atribacterales,Thermatribacteraceae,Thermatribacter
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Azonexaceae,Azonexus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,NA,Candidatus Endowatersipora
Gemmatimonadota,Longimicrobiia,Gaopeijiales,Gaopeijiaceae,Gaopeijia
Bacillota,Bacilli,Bacillales,Staphylococcaceae,Macrococcus
Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Candidatus Methylocalor
Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Okeanomitos
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylocella
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Bacillota,Bacilli,Bacillales,Bacillaceae,Tepidibacillus
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Teredinibacter
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Candidatus Mesenet
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Regiella
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Candidatus Zinderia
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Candidatus Midichloriaceae,Candidatus Lariskella
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Hamiltonella
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Mycetohabitans
Bacillota,Clostridia,Moorellales,Moorellaceae,Moorella
Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella
Myxococcota,Myxococcia,Myxococcales,Pendulisporaceae,Pendulispora
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mangrovimonas
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
Chloroflexota,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalogenimonas
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Pseudodesulfovibrio
Bdellovibrionota,Oligoflexia,Silvanigrellales,NA,Spirobacillus
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Thermodesulfobacteriota,Desulfarculia,Desulfarculales,Desulfarculaceae,Desulfoferula
Bacillota,Erysipelotrichia,Erysipelotrichales,Turicibacteraceae,Turicibacter
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Haloferula
Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Arachnia
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Pelagibacterium
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Mycovorax
Bacillota,Bacilli,Bacillales,Bacillaceae,Alkalicoccus
Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Terrisporobacter
Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
Bacillota,Bacilli,Bacillales,Bacillaceae,Shouchella
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis
Pseudomonadota,Alphaproteobacteria,Holosporales,Holosporaceae,Candidatus Bealeia
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter
Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Cribrihabitans
Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salinimicrobium
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Christiangramia
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Ciceribacter
Bacillota,Bacilli,Bacillales,Bacillaceae,Ectobacillus
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Niveispirillum
Pseudomonadota,Alphaproteobacteria,Maricaulales,Robiginitomaculaceae,Litorimonas
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Avibacterium
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter
Actinomycetota,Actinomycetes,Glycomycetales,Glycomycetaceae,Stackebrandtia
Actinomycetota,Actinomycetes,Mycobacteriales,Tsukamurellaceae,Tsukamurella
Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Kaistella
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Limimaricola
Cyanobacteriota,Cyanophyceae,Nostocales,Nodulariaceae,Nodularia
Cyanobacteriota,Cyanophyceae,Chroococcales,Aphanothecaceae,Aphanothece
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Aestuariibius
Bacillota,Bacilli,Bacillales,Bacillaceae,Halobacillus
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Loktanella
Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanisphaera
Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia
Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Peptococcus
Pseudomonadota,Gammaproteobacteria,NA,Celerinatantimonadaceae,Celerinatantimonas
Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Candidatus Magnetominusculus
