family,order,class,phylum,gene,n,n_res,f_res
Aquaspirillaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Aquificaceae,Aquificales,Aquificia,Aquificota,rrs_MG1655_2ndrun,8,0,0
Aquisalimonadaceae,Nitrococcales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Arcobacteraceae,Campylobacterales,Campylobacteria,Campylobacterota,rrs_MG1655_2ndrun,39,0,0
Arenicellaceae,Arenicellales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Aristaeellaceae,Christensenellales,Clostridia,Bacillota,rrs_MG1655_2ndrun,3,0,0
Armatimonadaceae,Armatimonadales,Armatimonadia,Armatimonadota,rrs_MG1655_2ndrun,1,0,0
Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinomycetota,rrs_MG1655_2ndrun,29,0,0
Atribacteraceae,Atribacterales,Atribacteria,Atribacterota,rrs_MG1655_2ndrun,1,0,0
Azospirillaceae,Azospirillales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,37,0,0
B-17BO,B-17B0,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
B231,B231,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
BH030062,Bacillales_D,Bacilli,Bacillota,rrs_MG1655_2ndrun,4,0,0
BOQE01,Tumebacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Bacillaceae,Bacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,135,0,0
Bacillaceae_B,Bacillales_B,Bacilli,Bacillota,rrs_MG1655_2ndrun,6,0,0
Bacillaceae_C,Bacillales_B,Bacilli,Bacillota,rrs_MG1655_2ndrun,17,0,0
Bacillaceae_D,Bacillales_H,Bacilli,Bacillota,rrs_MG1655_2ndrun,27,0,0
Bacillaceae_F,Bacillales_H,Bacilli,Bacillota,rrs_MG1655_2ndrun,5,0,0
Bacillaceae_G,Bacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Bacillaceae_H,Bacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,6,0,0
Bacillaceae_I,Bacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,4,0,0
Bacillaceae_J,Bacillales_C,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Bacillaceae_L,Bacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Bacteriovoracaceae,Bacteriovoracales,Bacteriovoracia,Bdellovibrionota,rrs_MG1655_2ndrun,5,0,0
Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,96,0,0
Balneatricaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,41,0,0
Balneolaceae,Balneolales,Rhodothermia,Bacteroidota_A,rrs_MG1655_2ndrun,20,0,0
Barnesiellaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,3,0,0
Bdellovibrionaceae,Bdellovibrionales,Bdellovibrionia,Bdellovibrionota,rrs_MG1655_2ndrun,4,0,0
Beggiatoaceae,Beggiatoales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,143,0,0
Bernardetiaceae,Cytophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Beutenbergiaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,16,0,0
Bianqueaceae,Lachnospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Bifidobacteriaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,115,0,0
Blattabacteriaceae,Flavobacteriales_B,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,3,0,0
Borreliaceae,Borreliales,Spirochaetia,Spirochaetota,rrs_MG1655_2ndrun,35,0,0
Brachyspiraceae,Brachyspirales,Brachyspiria,Spirochaetota,rrs_MG1655_2ndrun,11,0,0
Bradymonadaceae,Bradymonadales,Bradymonadia,Myxococcota,rrs_MG1655_2ndrun,5,0,0
Brevibacillaceae,Brevibacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,25,0,0
Brevibacteriaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,40,0,0
Brevinemataceae,Brevinematales,Brevinematia,Spirochaetota,rrs_MG1655_2ndrun,1,0,0
Breznakiellaceae,Treponematales,Spirochaetia,Spirochaetota,rrs_MG1655_2ndrun,3,0,0
Bryobacteraceae,Bryobacterales,Terriglobia,Acidobacteriota,rrs_MG1655_2ndrun,2,0,0
Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,772,0,0
Butyricicoccaceae,Oscillospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,6,0,0
CECT-8803,Kiloniellales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
CGMCC-115125,CGMCC-115125,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
CGMCC-115725,ATCC43930,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Caldalkalibacillaceae,Caldalkalibacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Caldanaerobiaceae,Thermoanaerobacterales,Thermoanaerobacteria,Bacillota,rrs_MG1655_2ndrun,1,0,0
Calderihabitantaceae,Calderihabitantales,KKC1,Bacillota,rrs_MG1655_2ndrun,1,0,0
Caldibacillaceae,Bacillales_B,Bacilli,Bacillota,rrs_MG1655_2ndrun,6,0,0
Caldicellulosiruptoraceae,Caldicellulosiruptorales,Thermoanaerobacteria,Bacillota,rrs_MG1655_2ndrun,11,0,0
Caldicoprobacteraceae,Caldicoprobacterales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Caldilineaceae,Caldilineales,Anaerolineae,Chloroflexota,rrs_MG1655_2ndrun,2,0,0
Caldisericaceae,Caldisericales,Caldisericia,Caldisericota,rrs_MG1655_2ndrun,1,0,0
Calditerricolaceae,Calditerricolales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Calditerrivibrionaceae,Deferribacterales,Deferribacteres,Chrysiogenota,rrs_MG1655_2ndrun,1,0,0
Calditrichaceae,Calditrichales,Calditrichia,Calditrichota,rrs_MG1655_2ndrun,1,0,0
Caloramatoraceae,Clostridiales,Clostridia,Bacillota,rrs_MG1655_2ndrun,7,0,0
Caminicellaceae,Peptostreptococcales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Campylobacteraceae,Campylobacterales,Campylobacteria,Campylobacterota,rrs_MG1655_2ndrun,52,0,0
Capsulimonadaceae,Armatimonadales,Armatimonadia,Armatimonadota,rrs_MG1655_2ndrun,1,0,0
Carbonactinosporaceae,Streptomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Carboxydocellaceae,Carboxydocellales,GCA-003054495,Bacillota,rrs_MG1655_2ndrun,1,0,0
Carboxydothermaceae,Carboxydothermales,Z-2901,Bacillota,rrs_MG1655_2ndrun,2,0,0
Cardiobacteriaceae,Cardiobacteriales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,6,0,0
Carnobacteriaceae,Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,27,0,0
Casimicrobiaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Catellicoccaceae,Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Catenulisporaceae,Streptomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,10,0,0
Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,76,0,0
Celerinatantimonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,5,0,0
Cellulomonadaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,127,0,0
Cellulosilyticaceae,Lachnospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,3,0,0
Cellvibrionaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,66,0,0
Cerasicoccaceae,Opitutales,Verrucomicrobiia,Verrucomicrobiota,rrs_MG1655_2ndrun,6,0,0
Chamaesiphonaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,2,0,0
Chitinibacteraceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,25,0,0
Chitinimonadaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,6,0,0
Chitinivibrionaceae,Chitinivibrionales,Chitinivibrionia,Fibrobacterota,rrs_MG1655_2ndrun,1,0,0
Chitinophagaceae,Chitinophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,130,0,0
Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiota,rrs_MG1655_2ndrun,19,0,0
Chloracidobacteriaceae,Chloracidobacteriales,Blastocatellia,Acidobacteriota,rrs_MG1655_2ndrun,3,0,0
Chlorobiaceae,Chlorobiales,Chlorobiia,Bacteroidota_A,rrs_MG1655_2ndrun,12,0,0
Chloroflexaceae,Chloroflexales,Chloroflexia,Chloroflexota,rrs_MG1655_2ndrun,3,0,0
Chloroherpetonaceae,Chlorobiales,Chlorobiia,Bacteroidota_A,rrs_MG1655_2ndrun,1,0,0
Christensenellaceae,Christensenellales,Clostridia,Bacillota,rrs_MG1655_2ndrun,7,0,0
Chromatiaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,30,0,0
Chromobacteriaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,39,0,0
Chroococcidiopsidaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,6,0,0
Chrysiogenaceae,Chrysiogenales,Chrysiogenetes,Chrysiogenota,rrs_MG1655_2ndrun,3,0,0
Chthoniobacteraceae,Chthoniobacterales,Verrucomicrobiia,Verrucomicrobiota,rrs_MG1655_2ndrun,1,0,0
Chthonomonadaceae,Chthonomonadales,Chthonomonadetes,Armatimonadota,rrs_MG1655_2ndrun,1,0,0
Clostridiaceae,Clostridiales,Clostridia,Bacillota,rrs_MG1655_2ndrun,147,0,0
Cohaesibacteraceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,6,0,0
Coleofasciculaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,5,0,0
Competibacteraceae,Competibacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Coprobacillaceae,Erysipelotrichales,Bacilli,Bacillota,rrs_MG1655_2ndrun,15,0,0
Coprobacteraceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,3,0,0
Coprothermobacteraceae,Coprothermobacterales,Coprothermobacteria,Coprothermobacterota,rrs_MG1655_2ndrun,2,0,0
Coraliomargaritaceae,Opitutales,Verrucomicrobiia,Verrucomicrobiota,rrs_MG1655_2ndrun,4,0,0
Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinomycetota,rrs_MG1655_2ndrun,16,0,0
Coxiellaceae,Coxiellales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,6,0,0
Criblamydiaceae,Chlamydiales,Chlamydiia,Chlamydiota,rrs_MG1655_2ndrun,1,0,0
Crocinitomicaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,14,0,0
Cryomorphaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Cryptosporangiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,4,0,0
Culicoidibacteraceae,Culicoidibacterales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Cyanobacteriaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,2,0,0
Cyanobiaceae,PCC-6307,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,5,0,0
Cyclobacteriaceae,Cytophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,149,0,0
Cycloclasticaceae,Methylococcales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Cyclonatronaceae,Balneolales,Rhodothermia,Bacteroidota_A,rrs_MG1655_2ndrun,1,0,0
Cytophagaceae,Cytophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,3,0,0
DA-C8,Paenibacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
DRI-13,DRI-13,Peptococcia,Bacillota,rrs_MG1655_2ndrun,1,0,0
DSM-100275,DSM-100275,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
DSM-100316,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
DSM-103792,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
DSM-12255,Geobacterales,Desulfuromonadia,Desulfobacterota,rrs_MG1655_2ndrun,1,0,0
DSM-1321,Bacillales_B,Bacilli,Bacillota,rrs_MG1655_2ndrun,15,0,0
DSM-13327,DSM-13327,Negativicutes,Bacillota,rrs_MG1655_2ndrun,2,0,0
DSM-16500,DSM-16500,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
DSM-18226,Bacillales_B,Bacilli,Bacillota,rrs_MG1655_2ndrun,59,0,0
DSM-19205,Spirochaetales_E,Spirochaetia,Spirochaetota,rrs_MG1655_2ndrun,1,0,0
DSM-19610,DSM-19610,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
DSM-21159,Kiloniellales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,7,0,0
DSM-21967,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
DSM-22653,Thermicanales,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
DSM-22679,DSM-22679,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
DSM-23947,Bacillales_B,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
DSM-24629,Lachnospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
DSM-25080,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
DSM-25281,Bacillales_B,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
DSM-26407,DSM-26407,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
DSM-27016,Acetivibrionales,Clostridia,Bacillota,rrs_MG1655_2ndrun,6,0,0
DSM-28697,DSM-28697,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
DSM-2933,Acetivibrionales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
DSM-44946,Thermoactinomycetales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
DSM-45169,Thermoactinomycetales,Bacilli,Bacillota,rrs_MG1655_2ndrun,11,0,0
DSM-5069,Thermotogales,Thermotogae,Thermotogota,rrs_MG1655_2ndrun,4,0,0
DSM-6294,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,10,0,0
DSM-8532,DSM-8532,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
DSM-9756,Syntrophobacterales,Syntrophobacteria,Desulfobacterota,rrs_MG1655_2ndrun,2,0,0
DTU029,Halanaerobiales,Halanaerobiia,Bacillota,rrs_MG1655_2ndrun,1,0,0
DY22613,DY22613,Halanaerobiia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Deferribacteraceae,Deferribacterales,Deferribacteres,Chrysiogenota,rrs_MG1655_2ndrun,4,0,0
Deferrisomataceae,Deferrisomatales,Deferrisomatia,Desulfobacterota_C,rrs_MG1655_2ndrun,1,0,0
Deferrivibrionaceae,Deferribacterales,Deferribacteres,Chrysiogenota,rrs_MG1655_2ndrun,1,0,0
Defluviitaleaceae,Lachnospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Dehalobacteriaceae,Dehalobacteriales,Dehalobacteriia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Dehalococcoidaceae,Dehalococcoidales,Dehalococcoidia,Chloroflexota,rrs_MG1655_2ndrun,4,0,0
Deinococcaceae,Deinococcales,Deinococci,Deinococcota,rrs_MG1655_2ndrun,68,0,0
Demequinaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,24,0,0
Dendrosporobacteraceae,DSM-1736,Negativicutes,Bacillota,rrs_MG1655_2ndrun,1,0,0
Dermabacteraceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,33,0,0
Dermatophilaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,110,0,0
Desertifilaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,3,0,0
Desulfallaceae,Desulfotomaculales,Desulfotomaculia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Desulfarculaceae,Desulfarculales,Desulfarculia,Desulfobacterota,rrs_MG1655_2ndrun,3,0,0
Desulfatibacillaceae,Desulfobacterales,Desulfobacteria,Desulfobacterota,rrs_MG1655_2ndrun,2,0,0
Desulfatiglandaceae,Desulfatiglandales,DSM-4660,Desulfobacterota,rrs_MG1655_2ndrun,1,0,0
Desulfatirhabdiaceae,Desulfobacterales,Desulfobacteria,Desulfobacterota,rrs_MG1655_2ndrun,1,0,0
Desulfitibacteraceae,Desulfitibacterales,DSM-16504,Bacillota,rrs_MG1655_2ndrun,1,0,0
Desulfitobacteriaceae,Desulfitobacteriales,Desulfitobacteriia,Bacillota,rrs_MG1655_2ndrun,15,0,0
Desulfobaccaceae,Desulfobaccales,Desulfobaccia,Desulfobacterota,rrs_MG1655_2ndrun,1,0,0
Desulfobacteraceae,Desulfobacterales,Desulfobacteria,Desulfobacterota,rrs_MG1655_2ndrun,9,0,0
Desulfobulbaceae,Desulfobulbales,Desulfobulbia,Desulfobacterota,rrs_MG1655_2ndrun,9,0,0
Desulfocapsaceae,Desulfobulbales,Desulfobulbia,Desulfobacterota,rrs_MG1655_2ndrun,9,0,0
Desulfococcaceae,Desulfobacterales,Desulfobacteria,Desulfobacterota,rrs_MG1655_2ndrun,4,0,0
Desulfofarciminaceae,Desulfotomaculales,Desulfotomaculia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Desulfohalobiaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I,rrs_MG1655_2ndrun,1,0,0
Desulfohalotomaculaceae,Desulfotomaculales,Desulfotomaculia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Desulfolunaceae,Desulfobacterales,Desulfobacteria,Desulfobacterota,rrs_MG1655_2ndrun,2,0,0
Desulfomicrobiaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I,rrs_MG1655_2ndrun,5,0,0
Desulfomonilaceae,Desulfomonilales,Desulfomonilia,Desulfobacterota,rrs_MG1655_2ndrun,1,0,0
Desulfonatronaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I,rrs_MG1655_2ndrun,3,0,0
Desulfonatronovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I,rrs_MG1655_2ndrun,3,0,0
Desulfonauticaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I,rrs_MG1655_2ndrun,2,0,0
Desulfonisporaceae,Peptococcales,Peptococcia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Desulfoplanaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I,rrs_MG1655_2ndrun,1,0,0
Desulforegulaceae,Desulfobacterales,Desulfobacteria,Desulfobacterota,rrs_MG1655_2ndrun,1,0,0
